,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
2331025,2021,202101,1032732,2021001175195,66.0,2021010327321,560039,1,3,62.0,2,39,6,1982,0,0,1,100,8,800,2,1,1,6,64,3,30,1,0,0,7500,0
2400307,2021,202101,1064304,2021000367239,162.0,2021010643041,131841,1,1,162.0,1,30,1,1991,1,1,1,100,8,800,2,1,1,10,101,1,10,2,6,40,79000,79000
143470,2021,202101,65066,2021000651353,46.0,2021000650661,60005,1,2,27.0,2,39,4,1982,1,1,1,100,5,500,2,1,1,11,114,1,10,2,6,48,52000,52000
1883145,2021,202101,828632,2021001175354,147.0,2021008286321,230134,1,1,147.0,1,43,6,1978,0,0,7,700,210,21040,2,1,1,7,71,1,10,2,4,20,15000,15000
1282968,2021,202101,559181,2021001128579,32.0,2021005591811,90021,1,4,31.0,1,4,6,2017,0,0,1,100,47,4700,1,2,1,0,2,0,0,0,0,0,9999999,999999
1695846,2021,202101,747844,2021000555086,54.0,2021007478441,90129,1,2,55.0,2,60,1,1961,1,1,1,100,20,2000,2,1,1,6,63,1,10,2,6,50,70000,70000
2622040,2021,202101,1166011,2021001391198,10.0,2021011660111,110245,1,1,9.0,1,51,4,1970,1,1,2,200,48,4800,2,1,1,11,116,1,10,2,6,50,23000,0
2824144,2021,202101,1258787,2021000626714,48.0,2021012587871,200348,1,1,48.0,1,70,1,1951,1,1,1,100,48,4800,1,1,2,10,101,1,10,2,6,50,141500,100000
2878242,2021,202101,1280194,2021000933038,97.0,2021012801941,591348,1,1,98.0,2,68,4,1953,1,1,7,700,48,4800,2,1,2,6,63,1,10,2,6,50,49000,34000
3134369,2021,202101,1388519,2021000773702,86.0,2021013885191,1050153,1,5,82.0,2,3,6,2018,0,0,1,100,53,5300,2,1,1,0,2,0,0,0,0,0,9999999,999999
